Category,Page Title,Page URL,Page URI,Regex Pattern
"Course Design Accelerator, Instructional Design Wizard, and Course Builder",Course Builder,https://gastate.view.usg.edu/d2l/lms/courseBuilder/welcome.d2l?ou=2703385,/d2l/lms/courseBuilder/welcome.d2l?ou=2703385,^/d2l/lms/courseBuilder/.*$
Course Homepage,Homepage,https://gastate.view.usg.edu/d2l/home/2703385,/d2l/home/2703385,^/d2l/home/[0-9]+(\\?.*)?$
Course Search,Advanced Course Search,https://gastate.view.usg.edu/d2l/le/manageCourses/search/1070555,/d2l/le/manageCourses/search/1070555,^/d2l/le/manageCourses/search/.*$
Dates and Calendar,Availability Date Defaults ,https://gastate.view.usg.edu/d2l/le/availabilitydatedefaults/2703385,/d2l/le/availabilitydatedefaults/2703385,^/d2l/le/availabilitydatedefaults/.*$
Dates and Calendar,Calendar Agenda View,https://gastate.view.usg.edu/d2l/le/calendar/2703385,/d2l/le/calendar/2703385,^/d2l/le/calendar/.*$
Dates and Calendar,Edit Event,https://gastate.view.usg.edu/d2l/le/calendar/2703385/event/22222697/edit?year=2024&month=2&day=3,/d2l/le/calendar/2703385/event/22222697/edit?year=2024&month=2&day=3,^/d2l/le/calendar/.*$
Dates and Calendar,Course Schedule,https://gastate.view.usg.edu/d2l/le/calendar/2703385/event/22640979/detailsview?year=2024&month=2&day=3,/d2l/le/calendar/2703385/event/22640979/detailsview?year=2024&month=2&day=3,^/d2l/le/calendar/.*$
Dates and Calendar,Create Event,https://gastate.view.usg.edu/d2l/le/calendar/2703385/event/new?year=2024&month=1&day=30,/d2l/le/calendar/2703385/event/new?year=2024&month=1&day=30,^/d2l/le/calendar/.*$
Dates and Calendar,Manage Dates,https://gastate.view.usg.edu/d2l/lms/manageDates/date_manager.d2l?fromCMC=1&ou=2703385,/d2l/lms/manageDates/date_manager.d2l?fromCMC=1&ou=2703385,^/d2l/lms/manageDates/date_manager.d2l.*$
Dates and Calendar,Course Offering Information,https://gastate.view.usg.edu/d2l/lp/manageCourses/course_offering_info_viewedit.d2l?ou=2703385,/d2l/lp/manageCourses/course_offering_info_viewedit.d2l?ou=2703385,^/d2l/lp/manageCourses/course_offering_info_viewedit.d2l.*
Discussions,Topic Statistics,https://gastate.view.usg.edu/d2l/common/popup/popup.d2l?ou=2703385&queryString=ou%3D2703385%26fid%3D1130414%26tid%3D3358416&footerMsg=&buttonOffset=0&popBodySrc=/d2l/lms/discussions/stats/topic_statistics_popup.d2l&width=715&height=650&hasStatusBar=false&hasAutoScroll=true&hasHiddenHeader=false&p=d2l_cntl_4a7bbcd040c449b2b547fe395e7db899_1,/d2l/common/popup/popup.d2l?ou=2703385&queryString=ou%3D2703385%26fid%3D1130414%26tid%3D3358416&footerMsg=&buttonOffset=0&popBodySrc=/d2l/lms/discussions/stats/topic_statistics_popup.d2l&width=715&height=650&hasStatusBar=false&hasAutoScroll=true&hasHiddenHeader=false&p=d2l_cntl_4a7bbcd040c449b2b547fe395e7db899_1,^/d2l/common/popup/popup.d2l\\?.*popBodySrc=/d2l/lms/discussions/.*
Discussions,"User Statistics (Gray, Dornet)",https://gastate.view.usg.edu/d2l/common/popup/popup.d2l?ou=2703385&queryString=ou%3D2703385%26uid%3D1714550&footerMsg=&buttonOffset=0&popBodySrc=/d2l/lms/discussions/stats/user_statistics_popup.d2l&width=715&height=650&hasStatusBar=false&hasAutoScroll=true&hasHiddenHeader=false&p=d2l_cntl_38513e7de1a64f7c86962ff492e1e55c_1,/d2l/common/popup/popup.d2l?ou=2703385&queryString=ou%3D2703385%26uid%3D1714550&footerMsg=&buttonOffset=0&popBodySrc=/d2l/lms/discussions/stats/user_statistics_popup.d2l&width=715&height=650&hasStatusBar=false&hasAutoScroll=true&hasHiddenHeader=false&p=d2l_cntl_38513e7de1a64f7c86962ff492e1e55c_1,^/d2l/common/popup/popup.d2l\\?.*popBodySrc=/d2l/lms/discussions/.*
Discussions,Discussions List,https://gastate.view.usg.edu/d2l/le/2703385/discussions/List,/d2l/le/2703385/discussions/List,^/d2l/le/[0-9]+/discussions/.*$
Discussions,New Discussion (from module),https://gastate.view.usg.edu/d2l/le/activities/edit/TVRBM01EVTFOVjh6TURBd1h6TTNPREV4TXpFLjI3MDMzODU?launchedFromLessons=False&returnUrl=%2fd2l%2fle%2fcontent%2f2703385%2fviewContent%2f60814349%2fView&isNew=True&returnText=Back+to+Content&optOutUrl=%2fd2l%2fle%2fcontent%2f2703385%2fviewContent%2f60814349%2fView&cancelUrl=%2fd2l%2fle%2fcontent%2f2703385%2fHome&isParentActivityNew=True,/d2l/le/activities/edit/TVRBM01EVTFOVjh6TURBd1h6TTNPREV4TXpFLjI3MDMzODU?launchedFromLessons=False&returnUrl=%2fd2l%2fle%2fcontent%2f2703385%2fviewContent%2f60814349%2fView&isNew=True&returnText=Back+to+Content&optOutUrl=%2fd2l%2fle%2fcontent%2f2703385%2fviewContent%2f60814349%2fView&cancelUrl=%2fd2l%2fle%2fcontent%2f2703385%2fHome&isParentActivityNew=True,^/d2l/le/activities/edit/[a-zA-Z0-9]+\\?.*returnUrl=%2fd2l%2fle%[0-9]+]%2fdiscussions%2fList.*$
Discussions,Group and Sections Restrictions,https://gastate.view.usg.edu/d2l/lms/discussions/admin/group_restrictions.d2l?ou=2703385,/d2l/lms/discussions/admin/group_restrictions.d2l?ou=2703385,^/d2l/lms/discussions/.*$
Discussions,Create Restricted Topics,https://gastate.view.usg.edu/d2l/lms/discussions/admin/group_restrictions_create.d2l?ou=2703385&fid=1130412&gc=,/d2l/lms/discussions/admin/group_restrictions_create.d2l?ou=2703385&fid=1130412&gc=,^/d2l/lms/discussions/.*$
Discussions,Subscriptions,https://gastate.view.usg.edu/d2l/lms/discussions/admin/subscriptions.d2l?ou=2703385,/d2l/lms/discussions/admin/subscriptions.d2l?ou=2703385,^/d2l/lms/discussions/.*$
Discussions,Statistics ,https://gastate.view.usg.edu/d2l/lms/discussions/stats/statistics_forums_topics.d2l?d2l_isfromtab=1&ou=2703385,/d2l/lms/discussions/stats/statistics_forums_topics.d2l?d2l_isfromtab=1&ou=2703385,^/d2l/lms/discussions/.*$
Discussions,Statistics ,https://gastate.view.usg.edu/d2l/lms/discussions/stats/statistics_users.d2l?ou=2703385,/d2l/lms/discussions/stats/statistics_users.d2l?ou=2703385,^/d2l/lms/discussions/.*$
Edit Homepage and Navbar,Manage Widgets,https://gastate.view.usg.edu/d2l/lp/homepage/admin/widget/widget_manage.d2l?ou=2703385,/d2l/lp/homepage/admin/widget/widget_manage.d2l?ou=2703385,^/d2l/lp/homepage/admin/widget/.*$
Edit Homepage and Navbar,New Widget,https://gastate.view.usg.edu/d2l/lp/homepage/admin/widget/widget_newedit_properties.d2l?ou=2703385,/d2l/lp/homepage/admin/widget/widget_newedit_properties.d2l?ou=2703385,^/d2l/lp/homepage/admin/widget/.*$
Edit Homepage and Navbar,Edit Widget,https://gastate.view.usg.edu/d2l/lp/homepage/admin/widget/widget_newedit_properties.d2l?wid=556562&ou=2703385,/d2l/lp/homepage/admin/widget/widget_newedit_properties.d2l?wid=556562&ou=2703385,^/d2l/lp/homepage/admin/widget/.*$
Edit Homepage and Navbar,Create Homepage,https://gastate.view.usg.edu/d2l/lp/homepages/2703385/create,/d2l/lp/homepages/2703385/create,^/d2l/lp/homepages/[0-9]+/.*$
Edit Homepage and Navbar,Edit Homepage,https://gastate.view.usg.edu/d2l/lp/homepages/2703385/edit/251343,/d2l/lp/homepages/2703385/edit/251343,^/d2l/lp/homepages/[0-9]+/.*$
Edit Homepage and Navbar,Homepages,https://gastate.view.usg.edu/d2l/lp/homepages/2703385/list,/d2l/lp/homepages/2703385/list,^/d2l/lp/homepages/[0-9]+/.*$
